# z_nm Ndp_h_cm-3 Ndp_c_cm-3 Ndp_total_cm-3
-1.774623115577889507e+02 2.624145773999450500e+15 6.311398564867635000e+15 8.935544338867085000e+15
-1.764824120603014990e+02 2.623582351444023500e+15 6.311214625299494000e+15 8.934796976743517000e+15
-1.755025125628140756e+02 2.623018675708405500e+15 6.311030534737925000e+15 8.934049210446330000e+15
-1.745226130653266239e+02 2.622454746839745000e+15 6.310846293068110000e+15 8.933301039907855000e+15
-1.735427135678392006e+02 2.621890271591090500e+15 6.310661804299264000e+15 8.932552075890355000e+15
-1.725628140703517488e+02 2.621272663730540000e+15 6.310459871411973000e+15 8.931732535142513000e+15
-1.715829145728643255e+02 2.620654752986861500e+15 6.310257757186730000e+15 8.930912510173591000e+15
-1.706030150753768737e+02 2.620036539423106500e+15 6.310055461472735000e+15 8.930092000895841000e+15
-1.696231155778894504e+02 2.619418023102671500e+15 6.309852984119088000e+15 8.929271007221759000e+15
-1.686432160804019986e+02 2.618799204089293500e+15 6.309650324974788000e+15 8.928449529064080000e+15
-1.676633165829145753e+02 2.618134380219139500e+15 6.309432507310916000e+15 8.927566887530055000e+15
-1.666834170854271520e+02 2.617451573233616500e+15 6.309208698286652000e+15 8.926660271520269000e+15
-1.657035175879397002e+02 2.616768398733109000e+15 6.308984667808154000e+15 8.925753066541264000e+15
-1.647236180904522485e+02 2.616084856804914500e+15 6.308760415672613000e+15 8.924845272477527000e+15
-1.637437185929648251e+02 2.615400947536841000e+15 6.308535941677070000e+15 8.923936889213911000e+15
-1.627638190954774018e+02 2.614680001077816500e+15 6.308299201432724000e+15 8.922979202510541000e+15
-1.617839195979899500e+02 2.613916426141689000e+15 6.308048340084034000e+15 8.921964766225722000e+15
-1.608040201005024983e+02 2.613152394688134000e+15 6.307797202002655000e+15 8.920949596690789000e+15
-1.598241206030150749e+02 2.612387906841918000e+15 6.307545786906187000e+15 8.919933693748104000e+15
-1.588442211055276516e+02 2.611622962728594500e+15 6.307294094511984000e+15 8.918917057240579000e+15
-1.578643216080401999e+02 2.610857562474505500e+15 6.307042124537176000e+15 8.917899687011681000e+15
-1.568844221105527481e+02 2.610011807817986500e+15 6.306763553435294000e+15 8.916775361253280000e+15
-1.559045226130653248e+02 2.609153251899191000e+15 6.306480606382671000e+15 8.915633858281862000e+15
-1.549246231155779014e+02 2.608294124045628500e+15 6.306197309821964000e+15 8.914491433867592000e+15
-1.539447236180904497e+02 2.607434424439681500e+15 6.305913663354053000e+15 8.913348087793735000e+15
-1.529648241206029979e+02 2.606574153264979000e+15 6.305629666579438000e+15 8.912203819844417000e+15
-1.519849246231155746e+02 2.605653816366817000e+15 6.305325661351566000e+15 8.910979477718383000e+15
-1.510050251256281513e+02 2.604683507586945500e+15 6.305004948565628000e+15 8.909688456152574000e+15
-1.500251256281406995e+02 2.603712474477540000e+15 6.304683789762659000e+15 8.908396264240200000e+15
-1.490452261306532478e+02 2.602740717308574500e+15 6.304362184369579000e+15 8.907102901678154000e+15
-1.480653266331658244e+02 2.601768236352037000e+15 6.304040131812712000e+15 8.905808368164749000e+15
-1.470854271356784011e+02 2.600791643943657000e+15 6.303716508459584000e+15 8.904508152403242000e+15
-1.461055276381909493e+02 2.599674205688956000e+15 6.303345954122130000e+15 8.903020159811086000e+15
-1.451256281407035260e+02 2.598555815882215500e+15 6.302974808813497000e+15 8.901530624695712000e+15
-1.441457286432160743e+02 2.597436474947061500e+15 6.302603071663518000e+15 8.900039546610580000e+15
-1.431658291457286509e+02 2.596316183310626500e+15 6.302230741800991000e+15 8.898546925111617000e+15
-1.421859296482411992e+02 2.595194941403557000e+15 6.301857818353667000e+15 8.897052759757225000e+15
-1.412060301507537758e+02 2.593967793155759000e+15 6.301449351752767000e+15 8.895417144908527000e+15
-1.402261306532663241e+02 2.592672581285760000e+15 6.301017867691847000e+15 8.893690448977607000e+15
-1.392462311557789008e+02 2.591376107922558500e+15 6.300585590685795000e+15 8.891961698608354000e+15
-1.382663316582914490e+02 2.590078373749662000e+15 6.300152519390576000e+15 8.890230893140238000e+15
